"Name","ipfsUrl","Accessories","Artifacts","Background","Body","Coins","Expression","Eyes","Hieroglyphs","Keyword","Mouth"
"Chia Friends #4788","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4788.png","Mohawk (Green)",,"Tundra & Watercolor","Starling",,,"Cyborg",,,"Beak (Long)"
"Chia Friends #4789","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4789.png",,,"Dolphin","Cactus (Purple)",,"Wide Eyes","Blue",,,"Happy (Tan)"
"Chia Friends #479","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/479.png",,,"Dan Perrywinkle & Gradient","K32 (Steel)",,,"Yellow","3",,"Smile (Steel)"
"Chia Friends #4790","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4790.png",,,"Squash & Glimmer","Starling",,,"Laser Visor",,,"Beak (Long)"
"Chia Friends #4791","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4791.png",,,"Sea Foam & Gradient","Cauliflower",,,"Shades",,,"Smile (Tan)"
"Chia Friends #4792","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4792.png","Verdant","Fireball (Yellow)","Banana & Watercolor","Parakeet (Yellow)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #4793","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4793.png",,,"Fern","Starling",,,"Purple",,,"Beak (Long)"
"Chia Friends #4794","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4794.png",,,"Opaa","K32 (Steel)","Hourglass",,"Closed","3",,"Jagged (Steel)"
"Chia Friends #4795","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4795.png",,,"Watermellon & Gradient","Broccoli (Green)",,,"Shades",,,"Happy (Green)"
"Chia Friends #4796","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4796.png",,,"Gold Fish & Watercolor","Marmot (Blue)",,,"Red",,,"Snout (Hungry)"
"Chia Friends #4797","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4797.png",,,"Green","Marmot (Brown)",,,"3D Glasses",,,"Snout (Sullen)"
"Chia Friends #4798","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4798.png","Verdant",,"Tuna & Gradient","Starling",,,"Cyborg",,,"Beak (Long)"
"Chia Friends #4799","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4799.png",,,"Squash","Parakeet (Green)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #48","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/48.png",,,"Nighttime & Watercolor","Broccoli (Green)",,"Angry (Green)","Green",,,"Frown (Green)"
"Chia Friends #480","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/480.png","Bubblegum",,"Grid","Marmot (Blue)",,,"Orange",,,"Snout (Hungry)"
"Chia Friends #4800","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4800.png",,"Yoyo (Gold)","Worm","Broccoli (Purple)",,"Wide Eyes","Rainbow",,,"Happy (Purple)"
"Chia Friends #4801","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4801.png",,"Fireball (Yellow)","Lilac","Starling",,,"Blue",,,"Beak (Long)"
"Chia Friends #4802","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4802.png",,,"Caribbean","Marmot (Green)",,,"Shades",,,"Snout (Drool)"
"Chia Friends #4803","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4803.png",,,"Dolphin & Sparkle","Seal",,,"Zombie",,,"Snout (Sullen)"
"Chia Friends #4804","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4804.png",,,"Tuna & Gradient","Starling",,,"Green",,,"Beak (Long)"
"Chia Friends #4805","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4805.png",,,"Lilac","Broccoli (Purple)","Star","Wide Eyes","Enlightened",,,"Carne (Purple)"
"Chia Friends #4806","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4806.png","Mohawk (Green)",,"Watermellon","Starling",,,"3D Glasses",,,"Beak (Long)"
"Chia Friends #4807","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4807.png",,,"Yak & Watercolor","Starling",,,"Vipers",,,"Beak (Long)"
"Chia Friends #4808","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4808.png",,,"efishcent Red","Cactus (Ded)",,"Wide Eyes","Zombie",,,"Yum"
"Chia Friends #4809","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4809.png",,,"Squash","K32 (Steel)",,,"Green","2",,"Jagged (Steel)"
"Chia Friends #481","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/481.png",,,"Tundra","Starling","Asterisk",,"Orange",,,"Beak (Long)"
"Chia Friends #4810","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4810.png",,,"Mint & Sparkle","Starling",,,"Cyborg",,,"Beak (Long)"
"Chia Friends #4811","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4811.png",,,"Tuna & Shimmer","Marmot (Purple)",,"Wide Eyes","Cyborg",,,"Snout (Drool)"
"Chia Friends #4812","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4812.png",,,"Tuna & Gradient","Cactus (Red)",,"Wide Eyes","Shades",,,"Frown (Purple)"
"Chia Friends #4813","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4813.png",,,"quexington","Cactus (Green)",,,"3D Glasses",,,"Ooo (Green)"
"Chia Friends #4814","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4814.png",,,"Gold Fish & Sparkle","Parakeet (Green)",,,"Rainbow",,,"Beak (Small)"
"Chia Friends #4815","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4815.png","Mohawk (Blue)",,"Squash","Starling",,,"Enlightened",,,"Beak (Long)"
"Chia Friends #4816","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4816.png",,,"Star Field","K32 (Amethyst)",,,"Seer (Amethyst)","4",,"Stoic"
"Chia Friends #4817","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4817.png",,,"Green","Cactus (Green)",,,"Cyborg",,,"Frown (Green)"
"Chia Friends #4818","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4818.png","Flower (Red)",,"Dan Perrywinkle","Parakeet (Green)",,,"Laser Visor",,,"Beak (Small)"
"Chia Friends #4819","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4819.png",,"Yoyo (Gold)","Slate","Broccoli (Green)",,"Wide Eyes","Laser Visor",,,"Ooo (Green)"
"Chia Friends #482","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/482.png",,,"Yak","Parakeet (Yellow)","Star",,"Vipers",,,"Beak (Small)"
"Chia Friends #4820","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4820.png",,"Fireball (Green)","Banana","K32 (Steel)",,,"Red","2",,"Jagged (Steel)"
"Chia Friends #4821","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4821.png",,,"Owl","K32 (Steel)",,,"Blue","2",,"Intercom (Steel)"
"Chia Friends #4822","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4822.png",,"Fireball (Yellow)","Grid & Chaos Agent","K32 (Jade)",,,"Seer (Jade)","4",,"Stoic"
"Chia Friends #4823","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4823.png",,,"Green & Watercolor","Broccoli (Green)",,"Wide Eyes","Laser Visor",,,"Smile (Green)"
"Chia Friends #4824","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4824.png",,,"Owl","Marmot (Purple)",,,"Shades",,,"Snout (Small)"
"Chia Friends #4825","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4825.png",,,"Green Lasers & Stars","Parakeet (Green)",,,"3D Glasses",,,"Beak (Small)"
"Chia Friends #4826","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4826.png",,,"Mauve","K32 (Steel)",,,"Blue","3",,"Jagged (Steel)"
"Chia Friends #4827","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4827.png","Mohawk (Green)",,"Worm & Gradient","Broccoli (Green)",,,"Laser Visor",,,"Carne (Green)"
"Chia Friends #4828","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4828.png",,,"Green & Shimmer","Starling","Flame",,"Shades",,,"Beak (Long)"
"Chia Friends #4829","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4829.png",,,"quexington & Gradient","Parakeet (Green)",,,"Shades",,,"Beak (Small)"
"Chia Friends #483","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/483.png",,,"Caribbean","Broccoli (Green)",,"Wide Eyes","Orange",,,"Smile (Green)"
"Chia Friends #4830","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4830.png",,,"Thistle & Watercolor","Parakeet (Green)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #4831","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4831.png","Flower (Red)",,"Swamp","Cactus (Purple)",,"Wide Eyes","Green",,,"Carne (Purple)"
"Chia Friends #4832","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4832.png",,,"Ice","Broccoli (Purple)",,"Squint (Purple)","Purple",,,"Smile (Purple)"
"Chia Friends #4833","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4833.png",,,"Watermellon & Gradient","Parakeet (Yellow)",,,"Laser Visor",,,"Beak (Small)"
"Chia Friends #4834","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4834.png",,,"Dan Perrywinkle & Glimmer","Cactus (Purple)",,,"Cyborg",,,"Ooo (Purple)"
"Chia Friends #4835","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4835.png","Mohawk (Green)",,"Opaa","Cactus (Green)",,"Wide Eyes","Vipers",,,"Carne (Green)"
"Chia Friends #4836","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4836.png",,,"Cranberry & Shimmer","Broccoli (Green)",,,"Enlightened",,,"Smile (Green)"
"Chia Friends #4837","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4837.png",,,"Tundra","Marmot (Red)","Crown","Squint (Purple)","Purple",,,"Snout (Sullen)"
"Chia Friends #4838","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4838.png",,,"Jellyfish","Starling",,,"Vipers",,,"Beak (Long)"
"Chia Friends #4839","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4839.png","Verdant",,"Monster","Broccoli (Purple)",,"Wide Eyes","Green",,,"Smile (Purple)"
"Chia Friends #484","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/484.png",,,"Cranberry","Starling","Star",,"Cyborg",,,"Beak (Long)"
"Chia Friends #4840","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4840.png","Bubblegum","Emerald","Slate","Parakeet (Yellow)",,,"Vipers",,,"Beak (Small)"
"Chia Friends #4841","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4841.png","Verdant",,"Green Lasers","K32 (Amethyst)",,,"Seer (Amethyst)","4",,"Stoic"
"Chia Friends #4842","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4842.png","Verdant",,"Owl","K32 (Steel)","Smile",,"Blue","1",,"Happy (Steel)"
"Chia Friends #4843","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4843.png",,"Halo","Nighttime & Shimmer","Seal",,,"Orange",,,"Snout (Eating)"
"Chia Friends #4844","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4844.png",,,"Slate","Parakeet (Yellow)",,,"Vipers",,,"Beak (Small)"
"Chia Friends #4845","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4845.png",,,"Cherry Blossom","Cucumber",,"Wide Eyes","Green",,,"Carne (Green)"
"Chia Friends #4846","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4846.png",,,"Worm","Parakeet (Yellow)","Leaf",,"Rainbow",,,"Beak (Small)"
"Chia Friends #4847","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4847.png",,,"Caribbean","Cauliflower",,"Wide Eyes","Orange",,,"Smile (Tan)"
"Chia Friends #4848","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4848.png",,,"Nighttime","K32 (Steel)",,,"Yellow","1",,"Happy (Steel)"
"Chia Friends #4849","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4849.png","Flower (Yellow)",,"Sky","Cucumber",,,"Rainbow",,,"Carne (Green)"
"Chia Friends #485","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/485.png",,,"Dolphin","Cactus (Red)",,,"Blue",,,"Smile (Purple)"
"Chia Friends #4850","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4850.png",,,"Jellyfish","Marmot (Red)",,"Wide Eyes","3D Glasses",,,"Snout (Drool)"
"Chia Friends #4851","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4851.png","Mohawk (Purple)",,"quexington & Gradient","Parakeet (Yellow)",,,"Vipers",,,"Beak (Small)"
"Chia Friends #4852","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4852.png",,,"Yak & Gradient","Cactus (Purple)",,"Wide Eyes","Rainbow",,,"Happy (Purple)"
"Chia Friends #4853","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4853.png",,,"Owl & Sparkle","Parakeet (Green)","Leaf",,"Shades",,,"Beak (Small)"
"Chia Friends #4854","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4854.png",,,"Monster & Sparkle","K32 (Steel)","Hourglass",,"Closed","2",,"Jagged (Steel)"
"Chia Friends #4855","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4855.png","Flower (Yellow)",,"Flax & Gradient","Marmot (Brown)","Diamond",,"Cyborg",,,"Snout (Drool)"
"Chia Friends #4856","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4856.png","Bubblegum",,"Sea Foam","Marmot (Purple)",,,"Purple",,,"Snout (Small)"
"Chia Friends #4857","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4857.png",,,"Jellyfish","Marmot (Brown)",,,"Cyborg",,,"Snout (Tooth)"
"Chia Friends #4858","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4858.png",,,"Mauve","Cactus (Purple)",,"Wide Eyes","Cyborg",,,"Happy (Purple)"
"Chia Friends #4859","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4859.png",,,"Thistle","Marmot (Brown)",,"Squint (Brown)","Green",,,"Snout (Tooth)"
"Chia Friends #486","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/486.png",,,"Mint","Parakeet (Yellow)","Crown",,"Laser Visor",,,"Beak (Small)"
"Chia Friends #4860","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4860.png",,,"Green & Watercolor","Cactus (esaung)",,"Wide Eyes","Green",,,"Carne (Tan)"
"Chia Friends #4861","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4861.png",,,"Sand & Gradient","Cactus (Green)",,"Wide Eyes","Ded",,,"Frown (Green)"
"Chia Friends #4862","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4862.png",,"Emerald","Owl","Marmot (Blue)",,,"Zombie",,,"Snout (Eating)"
"Chia Friends #4863","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4863.png",,"Fireball (Yellow)","Mint","Marmot (Brown)",,,"Shades",,,"Snout (Sullen)"
"Chia Friends #4864","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4864.png",,,"Sand","Starling",,,"Shades",,,"Beak (Long)"
"Chia Friends #4865","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4865.png",,,"Mauve","Marmot (Gray)",,,"Vipers",,,"Snout (Tooth)"
"Chia Friends #4866","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4866.png",,,"Worm","Starling",,,"Rainbow",,,"Beak (Long)"
"Chia Friends #4867","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4867.png","Bubblegum",,"Ice","K32 (Steel)",,,"Blue","3",,"Sad (Steel)"
"Chia Friends #4868","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4868.png",,,"Worm & Gradient","Cactus (esaung)",,"Wide Eyes","Green",,,"Happy (Tan)"
"Chia Friends #4869","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4869.png","Flower (Red)","Fireball (Yellow)","Jellyfish","Marmot (Purple)",,,"Purple",,,"Snout (Drool)"
"Chia Friends #487","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/487.png",,,"Thistle","Seal",,,"Enlightened",,,"Snout (Sullen)"
"Chia Friends #4870","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4870.png",,,"Banana","Broccoli (Green)",,"Wide Eyes","3D Glasses",,,"Ooo (Green)"
"Chia Friends #4871","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4871.png",,,"Thistle & Shimmer","Parakeet (Green)",,,"Blue",,,"Beak (Small)"
"Chia Friends #4872","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4872.png",,,"Mauve","Starling",,,"Zombie",,,"Beak (Long)"
"Chia Friends #4873","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4873.png","Flower (Red)",,"Thistle","Broccoli (Purple)",,"Wide Eyes","Orange",,,"Frown (Purple)"
"Chia Friends #4874","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4874.png",,,"Fern","Broccoli (Green)",,,"Laser Visor",,,"Frown (Green)"
"Chia Friends #4875","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4875.png",,,"Watermellon & Gradient","Starling",,,"Shades",,,"Beak (Long)"
"Chia Friends #4876","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4876.png",,,"Worm","K32 (Steel)",,,"Yellow","1",,"Happy (Steel)"
"Chia Friends #4877","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4877.png",,,"Cherry Blossom","Broccoli (Purple)",,"Wide Eyes","Green",,,"Ooo (Purple)"
"Chia Friends #4878","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4878.png","Mohawk (Blue)",,"Squash","Marmot (Brown)",,"Squint (Brown)","Orange",,,"Snout (Small)"
"Chia Friends #4879","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4879.png",,,"Lilac","Cactus (esaung)",,"Angry (Green)","Green",,,"Smile (Purple)"
"Chia Friends #488","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/488.png",,,"Tundra & Sparkle","Broccoli (Purple)",,,"Laser Visor",,,"Smile (Purple)"
"Chia Friends #4880","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4880.png",,"Yoyo (Gold)","Nighttime","Parakeet (Green)",,,"Rainbow",,,"Beak (Small)"
"Chia Friends #4881","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4881.png",,,"Cherry Blossom & Watercolor","Parakeet (Yellow)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #4882","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4882.png",,"Fireball (Yellow)","Slate","Cactus (Red)",,,"Green",,,"Carne (Purple)"
"Chia Friends #4883","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4883.png",,,"Mauve & Sparkle","Parakeet (Yellow)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #4884","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4884.png",,,"Green & Shimmer","Starling",,,"Cyborg",,,"Beak (Long)"
"Chia Friends #4885","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4885.png",,,"Grid & Shimmer","K32 (Amethyst)",,,"Seer (Amethyst)","1",,"Stoic"
"Chia Friends #4886","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4886.png",,"Sparkles","Tuna","Cactus (Albino)",,"Wide Eyes","Blue",,,"Ooo (Tan)"
"Chia Friends #4887","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4887.png",,,"Green Lasers","K32 (Jade)","Crescent",,"Seer (Jade)","1",,"Stoic"
"Chia Friends #4888","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4888.png",,,"Mauve","Starling",,,"Red",,,"Beak (Long)"
"Chia Friends #4889","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/4889.png",,"Halo","Ice","Cactus (Red)",,"Wide Eyes","Green",,,"Frown (Purple)"
"Chia Friends #489","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/489.png",,,"Squash & Watercolor","Parakeet (Yellow)",,,"Green",,,"Beak (Small)"
